frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
3.43,1, white car,213.71,469.97,244.05,484.21,228.88,477.09,213.71,477.09,244.05,477.09,30.33,14.24,3
3.47,1, white car,212.86,469.92,243.38,484.21,228.12,477.06,212.86,477.06,243.38,477.06,30.51,14.28,3
3.5,1, white car,212.51,470.01,242.94,484.22,227.72,477.11,212.51,477.11,242.94,477.11,30.43,14.22,3
3.53,1, white car,212.53,470.11,242.6,484.14,227.57,477.12,212.53,477.12,242.6,477.12,30.07,14.04,3
3.57,1, white car,212.23,470.08,242.31,484.11,227.27,477.1,212.23,477.1,242.31,477.1,30.08,14.03,3
3.6,1, white car,211.51,469.97,241.74,484.06,226.63,477.02,211.51,477.02,241.74,477.02,30.23,14.1,3
3.63,1, white car,210.84,469.81,241.27,483.98,226.05,476.89,210.84,476.89,241.27,476.89,30.43,14.18,3
3.67,1, white car,210.45,469.75,240.88,483.9,225.66,476.82,210.45,476.82,240.88,476.82,30.43,14.16,3
3.7,1, white car,210.14,469.76,240.55,483.9,225.35,476.83,210.14,476.83,240.55,476.83,30.41,14.13,3
3.73,1, white car,209.82,469.79,240.04,483.82,224.93,476.81,209.82,476.81,240.04,476.81,30.21,14.03,3
3.77,1, white car,209.61,469.83,239.66,483.77,224.63,476.8,209.61,476.8,239.66,476.8,30.05,13.94,3
3.8,1, white car,209.2,469.77,239.54,483.83,224.37,476.8,209.2,476.8,239.54,476.8,30.35,14.06,3
3.83,1, white car,208.67,469.66,239.41,483.89,224.04,476.77,208.67,476.77,239.41,476.77,30.74,14.23,3
3.87,1, white car,208.24,469.5,239.29,483.89,223.76,476.7,208.24,476.7,239.29,476.7,31.05,14.39,3
3.9,1, white car,207.96,469.43,239.23,483.93,223.6,476.68,207.96,476.68,239.23,476.68,31.26,14.5,3
3.93,1, white car,207.85,469.42,239.13,483.95,223.49,476.69,207.85,476.69,239.13,476.69,31.28,14.54,3
3.97,1, white car,207.58,469.25,239.02,483.92,223.3,476.58,207.58,476.58,239.02,476.58,31.43,14.67,3
4.0,1, white car,207.34,468.91,238.92,483.74,223.13,476.33,207.34,476.33,238.92,476.33,31.58,14.83,3
