frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
8.77,3, black car,972.62,510.0,1000.66,522.98,986.64,516.49,972.62,516.49,1000.66,516.49,28.04,12.98,1
8.8,3, black car,969.33,510.22,997.4,523.22,983.36,516.72,969.33,516.72,997.4,516.72,28.07,13.0,1
8.83,3, black car,967.05,510.24,995.0,523.24,981.02,516.74,967.05,516.74,995.0,516.74,27.95,12.99,1
8.87,3, black car,964.08,509.91,992.6,523.15,978.34,516.53,964.08,516.53,992.6,516.53,28.52,13.24,1
8.9,3, black car,961.19,509.58,990.07,523.03,975.63,516.31,961.19,516.31,990.07,516.31,28.89,13.44,1
8.93,3, black car,957.57,509.5,986.16,522.81,971.87,516.16,957.57,516.16,986.16,516.16,28.59,13.31,1
8.97,3, black car,955.59,509.77,983.66,522.82,969.63,516.29,955.59,516.29,983.66,516.29,28.07,13.05,1
9.0,3, black car,953.34,509.81,981.48,522.84,967.41,516.32,953.34,516.32,981.48,516.32,28.14,13.03,1
9.03,3, black car,951.36,509.48,980.65,522.98,966.0,516.23,951.36,516.23,980.65,516.23,29.29,13.5,1
9.07,3, black car,949.14,509.45,978.6,522.94,963.87,516.2,949.14,516.2,978.6,516.2,29.46,13.49,1
9.1,3, black car,946.11,509.46,975.07,522.74,960.59,516.1,946.11,516.1,975.07,516.1,28.95,13.28,1
9.13,3, black car,943.56,509.41,972.29,522.62,957.93,516.02,943.56,516.02,972.29,516.02,28.72,13.21,1
9.17,3, black car,940.44,509.23,969.0,522.43,954.72,515.83,940.44,515.83,969.0,515.83,28.56,13.2,1
9.2,3, black car,937.72,508.99,966.49,522.32,952.1,515.65,937.72,515.65,966.49,515.65,28.78,13.33,1
