Frame: 2.9, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.93, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.97, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.0, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.03, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.07, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.1, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.13, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.17, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.2, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.23, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.27, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.3, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.33, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.37, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.4, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.43, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.47, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.5, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
